round,mode,loss,accuracy
0,non_iid,1.9370261135354507,0.1786012816940652
1,non_iid,1.886342483284199,0.2486765115631095
2,non_iid,1.8072671921907273,0.2392031206464196
3,non_iid,1.8110497134976682,0.3028698801894678
4,non_iid,1.7208492513251517,0.3108108108108108
5,non_iid,1.699689048053944,0.34382836444692116
6,non_iid,1.6120212795460118,0.355391473948175
7,non_iid,1.5975904422523701,0.37963220952911675
8,non_iid,1.5345608059283906,0.39621064363332403
9,non_iid,1.5044191105175861,0.41362496517135694
10,non_iid,1.478314380730148,0.41850097520200613
